Variable_Level Variable_Size Variable_Capacity Contribution_0 Contribution_1 Mutability_0 Mutability_1 Mutability_2 Capacity_1 Capacity_2
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.080 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.020 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
2 2 1 1.000 0.000 0.000 0.000 0.000 50.000 1.000
